SampleID,Location,Latitude,Longitude,pH,As,Pb,Cd,Cr,Hg,Fe,Mn,Zn,Cu
S476,Sangli,16.8516,74.575,7.01,0.012,0.024,0.001,0.046,0.002,0.24,0.16,0.14,0.04
S477,Nashik,20.0232,73.8017,7.1,0.013,0.029,0.004,0.042,0.0,0.27,0.15,0.11,0.05
S478,Nagpur,21.1324,79.0518,6.5,0.015,0.027,0.005,0.035,0.002,0.38,0.09,0.12,0.05
S479,Solapur,17.6773,75.9488,6.84,0.017,0.028,0.003,0.036,0.001,0.16,0.11,0.12,0.06
S480,Solapur,17.6594,75.8771,6.99,0.009,0.036,0.002,0.034,0.001,0.35,0.09,0.12,0.08
S481,Nashik,19.9984,73.8053,6.75,0.008,0.027,0.004,0.042,0.002,0.32,0.05,0.22,0.06
S482,Ahmednagar,19.1161,74.7245,7.08,0.008,0.029,0.004,0.036,0.003,0.2,0.08,0.16,0.1
S483,Ahmednagar,19.0911,74.7673,6.97,0.028,0.014,0.005,0.02,0.0,0.32,0.1,0.13,0.06
S484,Aurangabad,19.9691,75.3356,7.13,0.012,0.028,0.005,0.032,0.003,0.39,0.1,0.05,0.05
S485,Solapur,17.741,75.8995,7.28,0.025,0.028,0.003,0.012,0.003,0.23,0.11,0.09,0.05
S486,Sangli,16.8534,74.5896,6.72,0.023,0.022,0.002,0.035,0.002,0.31,0.14,0.13,0.06
S487,Pune,18.4873,73.8813,7.05,0.013,0.013,0.008,0.024,0.002,0.33,0.06,0.08,0.02
S488,Aurangabad,19.8978,75.3269,7.73,0.01,0.02,0.004,0.038,0.002,0.35,0.07,0.08,0.02
S489,Aurangabad,19.8095,75.3278,6.92,0.012,0.035,0.007,0.033,0.001,0.25,0.08,0.11,0.05
S490,Nagpur,21.1262,79.0766,6.84,0.017,0.029,0.003,0.049,0.001,0.17,0.11,0.11,0.07
S491,Solapur,17.5878,75.9482,7.17,0.007,0.016,0.008,0.029,0.001,0.12,0.09,0.13,0.07
S492,Ahmednagar,19.0532,74.704,7.11,0.022,0.015,0.007,0.036,0.003,0.29,0.02,0.13,0.08
S493,Ahmednagar,19.0684,74.738,6.96,0.002,0.038,0.003,0.041,0.002,0.4,0.11,0.13,0.04
S494,Kolhapur,16.7289,74.1871,7.16,0.009,0.035,0.005,0.042,0.002,0.16,0.07,0.17,0.06
S495,Satara,17.7159,74.0304,6.76,0.011,0.027,0.001,0.053,0.002,0.4,0.05,0.19,0.1
S496,Satara,17.6409,74.0414,7.0,0.007,0.029,0.007,0.03,0.003,0.17,0.06,0.15,0.06
S497,Satara,17.659,74.0426,7.13,0.021,0.025,0.006,0.032,0.004,0.23,0.16,0.14,0.03
S498,Nagpur,21.1868,79.092,7.21,0.023,0.028,0.004,0.046,0.002,0.35,0.04,0.16,0.05
S499,Sangli,16.902,74.6002,7.06,0.019,0.019,0.008,0.056,0.002,0.43,0.08,0.11,0.06
S500,Satara,17.6935,74.0065,7.13,0.018,0.019,0.006,0.045,0.002,0.39,0.06,0.16,0.04
S501,Nashik,19.9641,73.7709,6.76,0.013,0.025,0.007,0.033,0.001,0.39,0.07,0.14,0.07
S502,Mumbai,19.082,72.9105,7.12,0.011,0.041,0.005,0.035,0.003,0.32,0.11,0.24,0.05
S503,Aurangabad,19.8667,75.3468,7.27,0.007,0.012,0.004,0.02,0.002,0.34,0.07,0.08,0.06
S504,Sangli,16.8783,74.5307,7.21,0.021,0.033,0.007,0.058,0.002,0.31,0.09,0.14,0.09
S505,Ahmednagar,19.0548,74.7238,7.34,0.022,0.023,0.007,0.039,0.003,0.31,0.13,0.25,0.07
S506,Kolhapur,16.7065,74.265,6.91,0.03,0.027,0.004,0.028,0.003,0.37,0.09,0.16,0.03
S507,Mumbai,19.0815,72.8913,7.43,0.011,0.017,0.003,0.023,0.003,0.42,0.11,0.19,0.06
S508,Nagpur,21.1429,79.0782,6.92,0.007,0.028,0.005,0.043,0.002,0.29,0.07,0.14,0.07
S509,Aurangabad,19.8419,75.3459,7.06,0.012,0.022,0.005,0.025,0.002,0.23,0.13,0.23,0.04
S510,Nagpur,21.1618,79.0664,7.26,0.008,0.029,0.003,0.034,0.001,0.37,0.07,0.16,0.05
S511,Nagpur,21.1424,79.0926,6.81,0.017,0.037,0.003,0.048,0.003,0.23,0.06,0.15,0.05
S512,Nashik,20.0536,73.7908,6.8,0.009,0.034,0.004,0.036,0.003,0.26,0.1,0.14,0.07
S513,Pune,18.5381,73.8501,7.02,0.014,0.016,0.006,0.055,0.001,0.24,0.07,0.17,0.07
S514,Pune,18.5156,73.8292,7.02,0.007,0.027,0.007,0.023,0.001,0.43,0.08,0.19,0.06
S515,Nagpur,21.1409,79.1014,6.78,0.017,0.023,0.002,0.039,0.002,0.29,0.06,0.2,0.08
S516,Satara,17.7094,74.0091,6.57,0.028,0.026,0.004,0.04,0.003,0.3,0.14,0.18,0.04
S517,Ahmednagar,19.075,74.7783,6.5,0.015,0.016,0.004,0.033,0.002,0.26,0.07,0.23,0.1
S518,Mumbai,19.0411,72.9252,6.9,0.017,0.026,0.004,0.046,0.002,0.26,0.06,0.1,0.03
S519,Satara,17.6809,73.9824,6.93,0.024,0.034,0.005,0.035,0.004,0.34,0.09,0.08,0.07
S520,Solapur,17.6848,75.8875,7.07,0.014,0.025,0.001,0.034,0.003,0.25,0.1,0.11,0.07
S521,Ahmednagar,19.0887,74.7214,7.33,0.022,0.022,0.006,0.041,0.003,0.16,0.13,0.12,0.05
S522,Nagpur,21.2249,79.0973,6.9,0.003,0.036,0.002,0.026,0.002,0.41,0.12,0.13,0.07
S523,Solapur,17.6419,75.9106,7.02,0.022,0.033,0.006,0.032,0.003,0.29,0.07,0.12,0.06
S524,Satara,17.7078,74.0128,6.7,0.016,0.027,0.005,0.045,0.003,0.25,0.08,0.1,0.07
S525,Solapur,17.7034,75.8969,6.94,0.025,0.03,0.006,0.024,0.003,0.23,0.07,0.13,0.05
S526,Nagpur,21.1392,79.045,7.24,0.023,0.012,0.007,0.028,0.003,0.29,0.1,0.13,0.08
S527,Nashik,19.9603,73.808,7.28,0.02,0.042,0.004,0.046,0.002,0.4,0.1,0.12,0.09
S528,Pune,18.5057,73.8143,6.87,0.02,0.036,0.005,0.049,0.001,0.26,0.09,0.14,0.06
S529,Mumbai,19.0967,72.8644,7.03,0.016,0.02,0.005,0.035,0.002,0.3,0.1,0.12,0.09
S530,Solapur,17.6248,75.8848,7.69,0.01,0.017,0.006,0.015,0.002,0.47,0.05,0.06,0.03
S531,Nagpur,21.1728,79.1219,6.87,0.02,0.036,0.009,0.034,0.0,0.23,0.09,0.13,0.06
S532,Nashik,20.0311,73.828,6.96,0.023,0.029,0.005,0.045,0.002,0.46,0.06,0.12,0.06
S533,Sangli,16.8656,74.6195,6.99,0.007,0.032,0.007,0.017,0.002,0.17,0.08,0.1,0.08
S534,Satara,17.684,73.9797,7.22,0.007,0.028,0.003,0.032,0.002,0.34,0.14,0.14,0.07
S535,Pune,18.5073,73.8622,7.11,0.015,0.013,0.006,0.04,0.001,0.2,0.14,0.16,0.06
S536,Sangli,16.8183,74.5568,7.33,0.017,0.022,0.006,0.028,0.003,0.41,0.09,0.11,0.01
S537,Nagpur,21.1014,79.048,7.03,0.014,0.017,0.004,0.041,0.002,0.15,0.1,0.08,0.08
S538,Mumbai,19.0995,72.8508,6.81,0.013,0.01,0.006,0.033,0.003,0.21,0.08,0.08,0.04
S539,Satara,17.645,74.0482,6.83,0.017,0.023,0.002,0.034,0.002,0.2,0.12,0.11,0.05
S540,Nashik,20.0134,73.7699,7.01,0.014,0.027,0.001,0.018,0.002,0.38,0.07,0.13,0.07
S541,Satara,17.7013,73.9575,6.78,0.014,0.031,0.01,0.034,0.001,0.33,0.14,0.14,0.04
S542,Sangli,16.8811,74.6014,6.74,0.018,0.033,0.007,0.035,0.002,0.4,0.06,0.16,0.03
S543,Sangli,16.8844,74.5738,7.32,0.019,0.017,0.008,0.052,0.003,0.24,0.09,0.15,0.05
S544,Ahmednagar,19.146,74.7539,6.5,0.018,0.024,0.005,0.032,0.003,0.39,0.11,0.13,0.06
S545,Kolhapur,16.7056,74.2192,7.14,0.019,0.037,0.008,0.029,0.003,0.22,0.12,0.12,0.04
S546,Satara,17.6889,73.9381,6.56,0.015,0.027,0.004,0.02,0.001,0.33,0.12,0.14,0.08
S547,Ahmednagar,19.1071,74.7272,6.93,0.008,0.025,0.007,0.043,0.003,0.28,0.14,0.13,0.09
S548,Sangli,16.8517,74.6027,7.37,0.015,0.028,0.008,0.035,0.001,0.47,0.09,0.15,0.08
S549,Solapur,17.6416,75.8762,7.06,0.005,0.024,0.005,0.033,0.001,0.43,0.1,0.2,0.05
S550,Sangli,16.826,74.5896,6.95,0.009,0.036,0.004,0.018,0.003,0.26,0.08,0.07,0.09
S551,Satara,17.6418,74.0201,7.23,0.019,0.026,0.002,0.028,0.002,0.24,0.11,0.17,0.08
S552,Nashik,19.9607,73.8557,7.19,0.016,0.034,0.01,0.022,0.002,0.11,0.11,0.15,0.06
S553,Satara,17.6609,73.9568,7.09,0.025,0.022,0.006,0.02,0.002,0.27,0.08,0.11,0.05
S554,Satara,17.692,73.9789,6.9,0.016,0.018,0.009,0.027,0.001,0.22,0.15,0.16,0.04
S555,Aurangabad,19.9094,75.3493,7.06,0.014,0.021,0.006,0.031,0.003,0.2,0.15,0.14,0.07
S556,Nagpur,21.1708,79.0693,7.22,0.002,0.021,0.003,0.023,0.002,0.33,0.12,0.15,0.05
S557,Aurangabad,19.8873,75.347,7.23,0.021,0.026,0.003,0.029,0.002,0.27,0.11,0.17,0.06
S558,Sangli,16.8529,74.5858,6.87,0.01,0.014,0.004,0.041,0.001,0.28,0.11,0.16,0.04
S559,Satara,17.7104,74.0521,6.72,0.011,0.034,0.005,0.014,0.001,0.28,0.07,0.12,0.06
S560,Nagpur,21.1897,79.0795,7.27,0.025,0.036,0.006,0.016,0.002,0.38,0.1,0.21,0.08
S561,Aurangabad,19.8932,75.3759,7.08,0.002,0.023,0.007,0.028,0.002,0.22,0.15,0.21,0.04
S562,Satara,17.6849,73.9979,7.15,0.019,0.032,0.006,0.065,0.001,0.16,0.09,0.08,0.03
S563,Mumbai,19.046,72.85,6.76,0.019,0.022,0.005,0.045,0.001,0.28,0.11,0.06,0.01
S564,Aurangabad,19.8866,75.3581,7.52,0.017,0.032,0.005,0.039,0.003,0.13,0.11,0.23,0.07
S565,Nagpur,21.1953,79.0693,6.99,0.016,0.01,0.003,0.025,0.003,0.37,0.11,0.17,0.06
S566,Aurangabad,19.9123,75.3436,7.01,0.014,0.031,0.004,0.046,0.001,0.21,0.12,0.14,0.05
S567,Kolhapur,16.7317,74.2251,6.95,0.024,0.037,0.008,0.033,0.003,0.22,0.07,0.05,0.09
S568,Kolhapur,16.6791,74.2395,6.77,0.02,0.023,0.002,0.04,0.001,0.23,0.04,0.08,0.06
S569,Sangli,16.7935,74.5371,7.0,0.013,0.04,0.009,0.027,0.002,0.36,0.08,0.08,0.06
S570,Mumbai,19.0708,72.8646,7.11,0.011,0.018,0.005,0.04,0.001,0.37,0.05,0.12,0.05
S571,Nashik,19.9784,73.7728,7.47,0.011,0.043,0.006,0.037,0.002,0.5,0.07,0.1,0.04
S572,Nashik,19.9985,73.738,7.01,0.026,0.027,0.004,0.03,0.003,0.23,0.16,0.22,0.07
S573,Nagpur,21.1455,79.1191,7.27,0.011,0.022,0.002,0.04,0.003,0.19,0.09,0.09,0.04
S574,Solapur,17.6764,75.8844,6.92,0.006,0.027,0.005,0.029,0.002,0.31,0.08,0.08,0.1
S575,Nashik,19.9785,73.7869,7.25,0.037,0.017,0.006,0.029,0.002,0.24,0.07,0.14,0.03
S576,Nagpur,21.1742,79.0899,7.11,0.013,0.023,0.006,0.024,0.002,0.23,0.07,0.06,0.09
S577,Mumbai,19.0554,72.9126,7.27,0.008,0.018,0.01,0.054,0.002,0.32,0.08,0.16,0.05
S578,Solapur,17.5989,75.8668,7.01,0.009,0.026,0.003,0.028,0.003,0.32,0.1,0.18,0.07
S579,Solapur,17.7033,75.8926,6.89,0.008,0.023,0.007,0.049,0.003,0.16,0.13,0.07,0.08
S580,Kolhapur,16.694,74.2644,6.67,0.023,0.016,0.004,0.026,0.001,0.31,0.15,0.25,0.06
S581,Sangli,16.8859,74.5885,7.12,0.014,0.027,0.006,0.03,0.002,0.3,0.12,0.1,0.06
S582,Satara,17.7379,74.0532,7.34,0.016,0.028,0.007,0.052,0.0,0.19,0.14,0.13,0.05
S583,Solapur,17.6223,75.8897,6.65,0.029,0.026,0.005,0.042,0.003,0.38,0.13,0.11,0.05
S584,Pune,18.5435,73.8409,7.0,0.018,0.031,0.001,0.043,0.002,0.36,0.12,0.2,0.09
S585,Nagpur,21.1862,79.1315,7.07,0.016,0.032,0.006,0.033,0.002,0.3,0.07,0.19,0.06
S586,Solapur,17.7214,75.8576,6.86,0.016,0.034,0.006,0.039,0.001,0.21,0.11,0.09,0.05
S587,Solapur,17.6749,75.8769,7.4,0.023,0.015,0.003,0.013,0.001,0.36,0.09,0.16,0.03
S588,Ahmednagar,19.1191,74.7329,7.0,0.015,0.017,0.003,0.046,0.002,0.38,0.11,0.15,0.03
S589,Pune,18.5123,73.8559,7.49,0.02,0.037,0.006,0.029,0.002,0.32,0.07,0.12,0.06
S590,Ahmednagar,19.1434,74.6872,7.3,0.01,0.016,0.007,0.043,0.003,0.36,0.16,0.16,0.06
S591,Solapur,17.6702,75.9437,6.81,0.012,0.024,0.001,0.037,0.0,0.3,0.13,0.12,0.09
S592,Satara,17.6367,74.054,7.17,0.006,0.045,0.005,0.027,0.001,0.28,0.1,0.14,0.05
S593,Pune,18.5394,73.8451,6.52,0.015,0.009,0.006,0.026,0.002,0.41,0.07,0.18,0.05
S594,Kolhapur,16.7576,74.2323,6.79,0.02,0.023,0.003,0.031,0.002,0.41,0.04,0.14,0.07
S595,Aurangabad,19.882,75.3826,6.98,0.015,0.03,0.005,0.032,0.002,0.25,0.08,0.12,0.09
S596,Solapur,17.5633,75.9183,7.01,0.006,0.028,0.006,0.042,0.0,0.41,0.08,0.17,0.07
S597,Solapur,17.6336,75.9262,6.9,0.004,0.034,0.003,0.027,0.002,0.32,0.1,0.16,0.03
S598,Sangli,16.8301,74.578,7.47,0.015,0.034,0.005,0.031,0.002,0.29,0.12,0.19,0.07
S599,Sangli,16.888,74.5526,6.9,0.012,0.028,0.004,0.043,0.001,0.3,0.12,0.06,0.1
S600,Ahmednagar,19.0867,74.6888,7.04,0.016,0.025,0.007,0.043,0.002,0.34,0.1,0.21,0.03
S601,Nagpur,21.15,79.0902,7.2,0.011,0.014,0.005,0.039,0.003,0.2,0.13,0.23,0.05
S602,Satara,17.6418,74.0061,7.0,0.019,0.022,0.008,0.025,0.001,0.39,0.03,0.13,0.12
S603,Nagpur,21.1454,79.0546,6.99,0.016,0.027,0.006,0.026,0.003,0.32,0.12,0.11,0.09
S604,Aurangabad,19.8685,75.3516,6.77,0.01,0.031,0.004,0.027,0.001,0.36,0.08,0.14,0.06
S605,Solapur,17.6024,75.8623,7.08,0.012,0.033,0.007,0.043,0.003,0.29,0.12,0.12,0.11
S606,Satara,17.74,74.0187,7.1,0.024,0.025,0.004,0.045,0.002,0.31,0.07,0.07,0.06
S607,Pune,18.5475,73.8499,7.36,0.012,0.019,0.005,0.035,0.003,0.24,0.14,0.22,0.06
S608,Solapur,17.6974,75.8747,7.27,0.022,0.032,0.005,0.01,0.001,0.25,0.07,0.14,0.05
S609,Kolhapur,16.6803,74.2115,6.82,0.023,0.021,0.004,0.031,0.002,0.34,0.01,0.18,0.09
S610,Solapur,17.6284,75.8772,6.89,0.011,0.028,0.001,0.025,0.003,0.23,0.14,0.15,0.02
S611,Nashik,20.0166,73.7863,6.89,0.017,0.029,0.006,0.048,0.002,0.19,0.09,0.26,0.07
S612,Satara,17.7516,74.0602,7.06,0.018,0.026,0.002,0.036,0.003,0.25,0.11,0.17,0.04
S613,Nashik,19.984,73.7593,6.79,0.008,0.02,0.008,0.027,0.002,0.26,0.14,0.19,0.08
S614,Ahmednagar,19.1044,74.7427,6.7,0.028,0.021,0.006,0.047,0.002,0.38,0.12,0.21,0.05
S615,Sangli,16.8138,74.5663,7.05,0.016,0.023,0.001,0.041,0.004,0.34,0.12,0.16,0.07
S616,Pune,18.5483,73.8686,6.92,0.011,0.024,0.006,0.033,0.002,0.34,0.12,0.19,0.06
S617,Solapur,17.6207,75.896,7.01,0.005,0.036,0.005,0.04,0.003,0.25,0.12,0.14,0.06
S618,Ahmednagar,19.072,74.7996,6.91,0.02,0.013,0.007,0.047,0.002,0.28,0.11,0.23,0.02
S619,Ahmednagar,19.1187,74.7223,7.0,0.015,0.023,0.005,0.025,0.003,0.16,0.12,0.13,0.04
S620,Pune,18.5265,73.81,7.01,0.007,0.029,0.003,0.031,0.002,0.24,0.1,0.08,0.07
S621,Mumbai,19.1289,72.9615,7.02,0.021,0.014,0.008,0.044,0.002,0.4,0.09,0.12,0.07
S622,Solapur,17.628,75.937,6.74,0.01,0.02,0.007,0.03,0.001,0.25,0.1,0.09,0.04
S623,Nashik,20.0608,73.764,6.92,0.014,0.023,0.006,0.045,0.002,0.2,0.14,0.14,0.09
S624,Satara,17.6131,74.0242,7.48,0.014,0.024,0.006,0.03,0.002,0.27,0.08,0.19,0.07
S625,Nashik,20.005,73.8141,6.93,0.011,0.022,0.005,0.025,0.002,0.26,0.16,0.03,0.06
S626,Pune,18.5722,73.8604,7.19,0.017,0.021,0.001,0.038,0.001,0.24,0.09,0.21,0.11
S627,Aurangabad,19.8827,75.3294,6.71,0.019,0.038,0.005,0.012,0.003,0.38,0.05,0.15,0.07
S628,Solapur,17.6577,75.8827,7.25,0.014,0.016,0.001,0.049,0.002,0.31,0.09,0.12,0.04
S629,Kolhapur,16.6921,74.1797,6.82,0.014,0.03,0.005,0.044,0.003,0.38,0.11,0.14,0.04
S630,Nagpur,21.168,79.1386,7.09,0.028,0.015,0.003,0.045,0.002,0.41,0.1,0.11,0.06
S631,Satara,17.6345,73.9844,7.24,0.021,0.029,0.002,0.032,0.001,0.39,0.08,0.1,0.06
S632,Kolhapur,16.6858,74.2878,6.82,0.008,0.011,0.005,0.03,0.001,0.4,0.12,0.14,0.09
S633,Kolhapur,16.7249,74.2186,6.74,0.021,0.029,0.005,0.028,0.002,0.24,0.1,0.2,0.05
S634,Solapur,17.6127,75.8748,7.25,0.018,0.025,0.004,0.041,0.001,0.32,0.08,0.1,0.05
S635,Aurangabad,19.8649,75.3418,7.06,0.002,0.02,0.004,0.051,0.001,0.31,0.14,0.09,0.07
S636,Solapur,17.6358,75.8913,6.8,0.012,0.045,0.007,0.047,0.002,0.17,0.11,0.18,0.04
S637,Aurangabad,19.9052,75.3644,7.46,0.013,0.018,0.004,0.05,0.001,0.13,0.1,0.12,0.06
S638,Mumbai,19.1044,72.8611,6.53,0.028,0.019,0.003,0.047,0.002,0.29,0.11,0.18,0.05
S639,Satara,17.7261,73.9542,7.19,0.011,0.036,0.005,0.029,0.003,0.37,0.12,0.1,0.05
S640,Pune,18.5203,73.8555,7.19,0.004,0.028,0.004,0.028,0.001,0.28,0.01,0.11,0.04
S641,Sangli,16.8684,74.5573,6.95,0.025,0.033,0.007,0.031,0.002,0.28,0.09,0.16,0.05
S642,Pune,18.5652,73.8519,7.15,0.025,0.033,0.002,0.04,0.003,0.37,0.07,0.11,0.08
S643,Kolhapur,16.6821,74.2343,7.39,0.016,0.021,0.003,0.039,0.001,0.28,0.11,0.19,0.07
S644,Nagpur,21.1244,79.1236,6.93,0.009,0.025,0.008,0.038,0.002,0.43,0.06,0.09,0.03
S645,Mumbai,19.0872,72.8827,7.39,0.017,0.023,0.005,0.037,0.001,0.52,0.12,0.15,0.07
S646,Pune,18.5417,73.8525,6.84,0.02,0.029,0.003,0.05,0.002,0.36,0.14,0.14,0.07
S647,Pune,18.5447,73.835,7.01,0.017,0.019,0.01,0.022,0.001,0.41,0.12,0.1,0.07
S648,Nagpur,21.1898,79.0873,7.65,0.006,0.031,0.007,0.045,0.002,0.28,0.11,0.17,0.07
S649,Nagpur,21.177,79.0576,6.94,0.01,0.023,0.007,0.037,0.004,0.32,0.1,0.14,0.05
S650,Pune,18.5187,73.8905,7.03,0.011,0.02,0.004,0.037,0.003,0.19,0.09,0.15,0.02
S651,Ahmednagar,19.0702,74.7292,6.8,0.017,0.025,0.004,0.04,0.003,0.43,0.04,0.16,0.06
S652,Nashik,20.0022,73.7779,7.03,0.017,0.022,0.003,0.032,0.002,0.35,0.13,0.12,0.07
S653,Nagpur,21.1747,79.1232,6.99,0.015,0.027,0.003,0.034,0.003,0.35,0.09,0.15,0.04
S654,Nashik,20.0186,73.7875,6.93,0.014,0.026,0.004,0.043,0.002,0.43,0.14,0.1,0.06
S655,Satara,17.661,74.0085,7.5,0.014,0.029,0.006,0.026,0.001,0.2,0.07,0.03,0.07
S656,Mumbai,19.1376,72.8821,6.65,0.012,0.023,0.003,0.045,0.003,0.21,0.12,0.2,0.1
S657,Ahmednagar,19.1812,74.7225,7.71,0.014,0.022,0.006,0.03,0.002,0.19,0.09,0.19,0.06
S658,Nagpur,21.15,79.1025,7.29,0.006,0.03,0.004,0.038,0.003,0.2,0.07,0.06,0.05
S659,Satara,17.7204,74.0147,6.66,0.013,0.016,0.003,0.04,0.001,0.39,0.1,0.14,0.05
S660,Aurangabad,19.8994,75.3668,7.08,0.019,0.025,0.006,0.033,0.002,0.28,0.09,0.11,0.07
S661,Kolhapur,16.7443,74.2784,6.69,0.024,0.024,0.006,0.027,0.002,0.33,0.06,0.16,0.09
S662,Nashik,19.9923,73.8306,6.95,0.021,0.01,0.01,0.051,0.002,0.14,0.11,0.08,0.07
S663,Ahmednagar,19.1075,74.7214,7.28,0.021,0.033,0.005,0.022,0.003,0.28,0.06,0.19,0.1
S664,Ahmednagar,19.094,74.8144,7.02,0.014,0.022,0.008,0.028,0.003,0.26,0.09,0.18,0.05
S665,Mumbai,19.0639,72.9117,7.4,0.02,0.021,0.004,0.037,0.002,0.22,0.12,0.14,0.03
S666,Nashik,19.9696,73.7747,6.98,0.027,0.028,0.003,0.038,0.002,0.33,0.12,0.19,0.06
S667,Aurangabad,19.9254,75.3705,6.82,0.029,0.028,0.003,0.053,0.004,0.3,0.08,0.13,0.07
S668,Mumbai,19.1143,72.8948,7.03,0.025,0.024,0.007,0.033,0.002,0.29,0.1,0.12,0.09
S669,Ahmednagar,19.0732,74.7274,7.53,0.022,0.009,0.004,0.018,0.001,0.05,0.1,0.09,0.06
S670,Pune,18.4716,73.8592,6.9,0.025,0.036,0.007,0.033,0.004,0.18,0.06,0.14,0.11
S671,Aurangabad,19.8701,75.3378,6.64,0.022,0.033,0.007,0.03,0.001,0.2,0.1,0.1,0.04
S672,Ahmednagar,19.0825,74.7349,6.87,0.019,0.027,0.004,0.038,0.001,0.31,0.1,0.08,0.08
S673,Solapur,17.6335,75.9091,7.29,0.022,0.026,0.004,0.045,0.003,0.25,0.08,0.06,0.06
S674,Solapur,17.6574,75.9405,7.09,0.024,0.021,0.007,0.031,0.003,0.18,0.11,0.06,0.05
S675,Nagpur,21.159,79.0726,6.74,0.021,0.025,0.004,0.036,0.004,0.39,0.13,0.16,0.06
S676,Mumbai,19.0041,72.8573,6.88,0.005,0.018,0.001,0.036,0.003,0.39,0.11,0.1,0.02
S677,Ahmednagar,19.0425,74.7115,6.78,0.015,0.019,0.006,0.034,0.002,0.39,0.06,0.16,0.06
S678,Nagpur,21.1358,79.1148,7.22,0.01,0.025,0.006,0.033,0.002,0.32,0.15,0.08,0.06
S679,Mumbai,19.0487,72.8958,6.6,0.018,0.022,0.004,0.022,0.002,0.39,0.1,0.17,0.09
S680,Aurangabad,19.8841,75.3265,7.12,0.013,0.022,0.002,0.045,0.002,0.31,0.07,0.16,0.04
S681,Ahmednagar,19.0909,74.7759,7.2,0.016,0.014,0.011,0.053,0.003,0.24,0.1,0.12,0.09
S682,Mumbai,19.0839,72.8542,6.88,0.023,0.037,0.008,0.044,0.002,0.05,0.11,0.14,0.06
S683,Ahmednagar,19.0968,74.7098,7.14,0.02,0.031,0.007,0.042,0.002,0.29,0.1,0.14,0.08
S684,Pune,18.5397,73.919,7.55,0.016,0.005,0.007,0.031,0.001,0.27,0.09,0.16,0.03
S685,Kolhapur,16.6727,74.2536,7.16,0.02,0.02,0.003,0.031,0.002,0.42,0.04,0.13,0.03
S686,Sangli,16.8028,74.6105,7.14,0.019,0.032,0.004,0.032,0.004,0.28,0.12,0.14,0.02
S687,Solapur,17.5986,75.889,7.26,0.021,0.032,0.003,0.052,0.001,0.32,0.1,0.13,0.09
S688,Kolhapur,16.6838,74.2028,7.0,0.014,0.05,0.006,0.032,0.001,0.15,0.07,0.14,0.09
S689,Mumbai,19.1097,72.8846,6.92,0.018,0.022,0.008,0.034,0.002,0.12,0.09,0.17,0.04
S690,Sangli,16.8299,74.6053,6.63,0.022,0.022,0.004,0.025,0.002,0.5,0.12,0.11,0.08
S691,Kolhapur,16.6955,74.2845,7.2,0.002,0.019,0.007,0.038,0.001,0.25,0.04,0.14,0.1
S692,Pune,18.5445,73.9224,7.22,0.022,0.04,0.006,0.034,0.003,0.42,0.09,0.11,0.06
S693,Solapur,17.6848,75.9303,6.64,0.027,0.022,0.004,0.027,0.004,0.32,0.07,0.17,0.08
S694,Satara,17.6749,74.0435,6.79,0.013,0.012,0.002,0.054,0.003,0.31,0.15,0.13,0.06
S695,Mumbai,19.0777,72.874,6.95,0.023,0.027,0.006,0.046,0.002,0.22,0.06,0.15,0.06
S696,Solapur,17.6625,75.9059,7.65,0.008,0.012,0.006,0.032,0.002,0.35,0.14,0.08,0.05
S697,Kolhapur,16.7179,74.2664,7.55,0.022,0.026,0.003,0.03,0.002,0.35,0.11,0.09,0.05
S698,Satara,17.7068,74.0288,7.14,0.018,0.037,0.005,0.032,0.001,0.32,0.03,0.13,0.06
S699,Nashik,19.9566,73.762,7.2,0.017,0.027,0.006,0.037,0.003,0.31,0.06,0.21,0.07
S700,Solapur,17.6422,75.8688,7.1,0.015,0.037,0.004,0.028,0.003,0.37,0.11,0.17,0.06
S701,Nashik,20.0045,73.8247,7.16,0.015,0.035,0.001,0.057,0.001,0.25,0.1,0.13,0.08
S702,Sangli,16.8207,74.5893,6.86,0.018,0.026,0.005,0.031,0.002,0.32,0.13,0.12,0.04
S703,Aurangabad,19.8946,75.3423,7.21,0.011,0.014,0.004,0.028,0.002,0.25,0.12,0.13,0.06
S704,Ahmednagar,19.0999,74.7554,6.99,0.019,0.02,0.008,0.034,0.001,0.32,0.07,0.17,0.1
S705,Sangli,16.8288,74.5915,6.56,0.019,0.02,0.004,0.025,0.003,0.38,0.1,0.11,0.09
S706,Satara,17.658,73.9534,7.11,0.009,0.033,0.004,0.042,0.003,0.2,0.08,0.14,0.09
S707,Satara,17.6607,74.0005,7.12,0.013,0.027,0.002,0.058,0.001,0.27,0.1,0.22,0.03
S708,Solapur,17.7194,75.9291,7.1,0.01,0.03,0.004,0.049,0.001,0.29,0.08,0.1,0.07
S709,Ahmednagar,19.1113,74.7859,6.56,0.022,0.044,0.004,0.055,0.002,0.19,0.09,0.18,0.04
S710,Aurangabad,19.8582,75.3611,7.0,0.02,0.028,0.006,0.032,0.002,0.23,0.14,0.11,0.08
S711,Kolhapur,16.698,74.2494,6.88,0.01,0.014,0.003,0.033,0.002,0.38,0.09,0.1,0.03
S712,Nagpur,21.1602,79.1297,7.32,0.02,0.03,0.008,0.039,0.003,0.27,0.06,0.11,0.06
S713,Mumbai,19.0778,72.9355,7.02,0.023,0.023,0.004,0.023,0.001,0.34,0.1,0.18,0.06
